ps.py 100 25 100 8 250
Genome
[530269, 486126, 189697, 420176, 262184, 602360, 214173, 196120, 740144, 709610, 611960, 740622, 365003, 312588, 7108, 486405, 594214, 972517, 693666, 172982, 752005, 365494, 757666, 54531, 937713, 100403, 91491, 568457, 887690, 114547, 868227, 901593, 112463, 218622, 319587, 908315, 598817, 513323, 850193, 655394, 230661, 112054, 680370, 259650, 45305, 800570, 280931, 288219, 313276, 925266, 389314, 334514, 812318, 400648, 306611, 301042, 704655, 822154, 536762, 971592, 335637, 436072, 807055, 224249, 724245, 308333, 85901, 669046, 618715, 520159, 699781, 274382, 156932, 592172, 720857, 540869, 865957, 749914, 575825, 695019, 666370, 616321, 276223, 135313, 460071, 515883, 627147, 99961, 480851, 645931, 945743, 77360, 838537, 289654, 475082, 370362, 470626, 914511, 527257, 122762]
0,0	2474.0
0,1	4288.0
0,2	2742.0
0,3	32.0
0,4	4746.0
0,5	616.0
0,6	1306.0
0,7	3150.0
1,0	13648.0
1,1	2152.0
1,2	2728.0
1,3	15450.0
1,4	5294.0
1,5	1526.0
1,6	208.0
1,7	746.0
2,0	2600.0
2,1	204.0
2,2	578.0
2,3	1378.0
2,4	7032.0
2,5	3140.0
2,6	274.0
2,7	72.0
3,0	960.0
3,1	1002.0
3,2	1418.0
3,3	9202.0
3,4	80.0
3,5	7242.0
3,6	490.0
3,7	1710.0
4,0	6858.0
4,1	10086.0
4,2	2222.0
4,3	768.0
4,4	7418.0
4,5	482.0
4,6	942.0
4,7	1710.0
5,0	2178.0
5,1	398.0
5,2	7350.0
5,3	448.0
5,4	2312.0
5,5	1282.0
5,6	3884.0
5,7	660.0
6,0	2320.0
6,1	4494.0
6,2	660.0
6,3	448.0
6,4	5220.0
6,5	1844.0
6,6	240.0
6,7	660.0
7,0	324.0
7,1	4552.0
7,2	660.0
7,3	448.0
7,4	186.0
7,5	66.0
7,6	240.0
7,7	660.0
8,0	114.0
8,1	322.0
8,2	448.0
8,3	448.0
8,4	2.0
8,5	66.0
8,6	76.0
8,7	324.0
9,0	114.0
9,1	322.0
9,2	306.0
9,3	240.0
9,4	2.0
9,5	66.0
9,6	240.0
9,7	324.0
10,0	114.0
10,1	322.0
10,2	306.0
10,3	2.0
10,4	2.0
10,5	66.0
10,6	240.0
10,7	114.0
11,0	114.0
11,1	114.0
11,2	306.0
11,3	2.0
11,4	2.0
11,5	2.0
11,6	66.0
11,7	114.0
12,0	2.0
12,1	66.0
12,2	114.0
12,3	2.0
12,4	2.0
12,5	2.0
12,6	2.0
12,7	2.0
13,0	2.0
13,1	2.0
13,2	114.0
13,3	2.0
13,4	2.0
13,5	2.0
13,6	2.0
13,7	2.0
14,0	2.0
14,1	2.0
14,2	2.0
14,3	2.0
14,4	2.0
14,5	2.0
14,6	2.0
14,7	2.0
15,0	2.0
15,1	2.0
15,2	2.0
15,3	2.0
15,4	2.0
15,5	2.0
15,6	2.0
15,7	2.0
16,0	2.0
16,1	2.0
16,2	2.0
16,3	2.0
16,4	2.0
16,5	2.0
16,6	2.0
16,7	2.0
17,0	2.0
17,1	2.0
17,2	2.0
17,3	2.0
17,4	2.0
17,5	2.0
17,6	2.0
17,7	2.0
18,0	2.0
18,1	2.0
18,2	2.0
18,3	2.0
18,4	2.0
18,5	2.0
18,6	2.0
18,7	2.0
19,0	2.0
19,1	2.0
19,2	2.0
19,3	2.0
19,4	2.0
19,5	2.0
19,6	2.0
19,7	2.0
20,0	2.0
20,1	2.0
20,2	2.0
20,3	2.0
20,4	2.0
20,5	2.0
20,6	2.0
20,7	2.0
21,0	2.0
21,1	2.0
21,2	2.0
21,3	2.0
21,4	2.0
21,5	2.0
21,6	2.0
21,7	2.0
22,0	2.0
22,1	2.0
22,2	2.0
22,3	2.0
22,4	2.0
22,5	2.0
22,6	2.0
22,7	2.0
23,0	2.0
23,1	2.0
23,2	2.0
23,3	2.0
23,4	2.0
23,5	2.0
23,6	2.0
23,7	2.0
24,0	2.0
24,1	2.0
24,2	2.0
24,3	2.0
24,4	2.0
24,5	2.0
24,6	2.0
24,7	2.0
gene 7108	weight1 486	weight2 0
gene 45305	weight1 486	weight2 0
gene 54531	weight1 486	weight2 0
gene 77360	weight1 486	weight2 0
gene 85901	weight1 0	weight2 486
gene 91491	weight1 0	weight2 486
gene 99961	weight1 486	weight2 0
gene 100403	weight1 0	weight2 486
gene 112054	weight1 486	weight2 0
gene 112463	weight1 486	weight2 0
gene 114547	weight1 486	weight2 0
gene 122762	weight1 486	weight2 0
gene 135313	weight1 486	weight2 0
gene 156932	weight1 486	weight2 0
gene 172982	weight1 0	weight2 486
gene 189697	weight1 486	weight2 0
gene 196120	weight1 0	weight2 486
gene 214173	weight1 0	weight2 486
gene 218622	weight1 0	weight2 486
gene 224249	weight1 0	weight2 486
gene 230661	weight1 486	weight2 0
gene 259650	weight1 486	weight2 0
gene 262184	weight1 486	weight2 0
gene 274382	weight1 0	weight2 486
gene 276223	weight1 0	weight2 486
gene 280931	weight1 0	weight2 486
gene 288219	weight1 0	weight2 486
gene 289654	weight1 486	weight2 0
gene 301042	weight1 486	weight2 0
gene 306611	weight1 0	weight2 486
gene 308333	weight1 486	weight2 0
gene 312588	weight1 0	weight2 486
gene 313276	weight1 0	weight2 486
gene 319587	weight1 0	weight2 486
gene 334514	weight1 0	weight2 486
gene 335637	weight1 0	weight2 486
gene 365003	weight1 0	weight2 486
gene 365494	weight1 0	weight2 486
gene 370362	weight1 486	weight2 0
gene 389314	weight1 486	weight2 0
gene 400648	weight1 486	weight2 0
gene 420176	weight1 486	weight2 0
gene 436072	weight1 486	weight2 0
gene 460071	weight1 0	weight2 486
gene 470626	weight1 0	weight2 486
gene 475082	weight1 486	weight2 0
gene 480851	weight1 0	weight2 486
gene 486126	weight1 486	weight2 0
gene 486405	weight1 486	weight2 0
gene 513323	weight1 0	weight2 486
gene 515883	weight1 486	weight2 0
gene 520159	weight1 0	weight2 486
gene 527257	weight1 0	weight2 486
gene 530269	weight1 0	weight2 486
gene 536762	weight1 486	weight2 0
gene 540869	weight1 0	weight2 486
gene 568457	weight1 486	weight2 0
gene 575825	weight1 486	weight2 0
gene 592172	weight1 0	weight2 486
gene 594214	weight1 0	weight2 486
gene 598817	weight1 486	weight2 0
gene 602360	weight1 0	weight2 486
gene 611960	weight1 0	weight2 486
gene 616321	weight1 0	weight2 486
gene 618715	weight1 0	weight2 486
gene 627147	weight1 486	weight2 0
gene 645931	weight1 486	weight2 0
gene 655394	weight1 0	weight2 486
gene 666370	weight1 0	weight2 486
gene 669046	weight1 486	weight2 0
gene 680370	weight1 486	weight2 0
gene 693666	weight1 0	weight2 486
gene 695019	weight1 0	weight2 486
gene 699781	weight1 486	weight2 0
gene 704655	weight1 0	weight2 486
gene 709610	weight1 486	weight2 0
gene 720857	weight1 486	weight2 0
gene 724245	weight1 486	weight2 0
gene 740144	weight1 486	weight2 0
gene 740622	weight1 486	weight2 0
gene 749914	weight1 0	weight2 486
gene 752005	weight1 0	weight2 486
gene 757666	weight1 486	weight2 0
gene 800570	weight1 486	weight2 0
gene 807055	weight1 0	weight2 486
gene 812318	weight1 486	weight2 0
gene 822154	weight1 0	weight2 486
gene 838537	weight1 486	weight2 0
gene 850193	weight1 486	weight2 0
gene 865957	weight1 0	weight2 486
gene 868227	weight1 0	weight2 486
gene 887690	weight1 0	weight2 486
gene 901593	weight1 486	weight2 0
gene 908315	weight1 486	weight2 0
gene 914511	weight1 486	weight2 0
gene 925266	weight1 486	weight2 0
gene 937713	weight1 0	weight2 486
gene 945743	weight1 0	weight2 486
gene 971592	weight1 0	weight2 486
gene 972517	weight1 486	weight2 0
Time:	834.3586609363556
Final:	2.0
List1
[7108, 45305, 54531, 77360, 99961, 112054, 112463, 114547, 122762, 135313, 156932, 189697, 230661, 259650, 262184, 289654, 301042, 308333, 370362, 389314, 400648, 420176, 436072, 475082, 486126, 486405, 515883, 536762, 568457, 575825, 598817, 627147, 645931, 669046, 680370, 699781, 709610, 720857, 724245, 740144, 740622, 757666, 800570, 812318, 838537, 850193, 901593, 908315, 914511, 925266, 972517]
List2
[85901, 91491, 100403, 172982, 196120, 214173, 218622, 224249, 274382, 276223, 280931, 288219, 306611, 312588, 313276, 319587, 334514, 335637, 365003, 365494, 460071, 470626, 480851, 513323, 520159, 527257, 530269, 540869, 592172, 594214, 602360, 611960, 616321, 618715, 655394, 666370, 693666, 695019, 704655, 749914, 752005, 807055, 822154, 865957, 868227, 887690, 937713, 945743, 971592]
